2022-12-19 13:24:55.279 [http-nio-8080-exec-9] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:25:50.269 [http-nio-8080-exec-8] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:26:45.268 [http-nio-8080-exec-6] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:27:40.267 [http-nio-8080-exec-2] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:28:35.277 [http-nio-8080-exec-3] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:29:30.272 [http-nio-8080-exec-5] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:30:25.276 [http-nio-8080-exec-7] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:31:20.275 [http-nio-8080-exec-4] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:32:15.273 [http-nio-8080-exec-10] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:33:10.281 [http-nio-8080-exec-1] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:34:05.272 [http-nio-8080-exec-9] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:35:00.275 [http-nio-8080-exec-8] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:35:55.285 [http-nio-8080-exec-6] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:36:50.281 [http-nio-8080-exec-2] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:37:45.278 [http-nio-8080-exec-3] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:38:40.280 [http-nio-8080-exec-5] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:39:35.272 [http-nio-8080-exec-7] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:40:30.281 [http-nio-8080-exec-4] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:41:25.280 [http-nio-8080-exec-10] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:42:20.278 [http-nio-8080-exec-1] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:43:15.282 [http-nio-8080-exec-9] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:44:10.288 [http-nio-8080-exec-8] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:45:05.277 [http-nio-8080-exec-6] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:46:00.280 [http-nio-8080-exec-2] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:46:55.289 [http-nio-8080-exec-3] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:47:50.288 [http-nio-8080-exec-5] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:48:45.278 [http-nio-8080-exec-7] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:49:40.279 [http-nio-8080-exec-4] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:50:35.278 [http-nio-8080-exec-10] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:51:30.290 [http-nio-8080-exec-1] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:52:25.290 [http-nio-8080-exec-9] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:53:20.278 [http-nio-8080-exec-8] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:54:15.280 [http-nio-8080-exec-6] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:55:10.282 [http-nio-8080-exec-2] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:56:05.287 [http-nio-8080-exec-3] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:57:00.292 [http-nio-8080-exec-5] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:57:55.293 [http-nio-8080-exec-7] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:58:50.289 [http-nio-8080-exec-4] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 13:59:45.289 [http-nio-8080-exec-10] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:00:40.286 [http-nio-8080-exec-1] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:01:35.285 [http-nio-8080-exec-9] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:02:30.287 [http-nio-8080-exec-8] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:03:25.285 [http-nio-8080-exec-6] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:04:20.285 [http-nio-8080-exec-2] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:05:15.287 [http-nio-8080-exec-3] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:06:10.296 [http-nio-8080-exec-5] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:07:05.297 [http-nio-8080-exec-7] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:08:00.295 [http-nio-8080-exec-4] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
2022-12-19 14:08:55.292 [http-nio-8080-exec-10] INFO  org.jeecg.modules.message.websocket.WebSocket:73 - 【系统 WebSocket】推送单人消息:{"cmd":"heartcheck","msgTxt":"心跳响应"}
